ID,Name,Description,Media_Type,Download_URL,Path_In_Zip,version,Size,Length,Contribution_ID,Date_Updated
a3ca5f5891c7b1563d7081ba2e7b9f9b,annotation-notes.pdf,,application/pdf,media/annotation-notes.pdf,,,412901,,,
3869d4b43f6b4b577761f409589c4a40,image.jpg,,image/jpeg,media/image.jpg,,,51765,,,
90d2c1b8a72c19c2801d225157d8f50c,metadata.pdf,,application/pdf,media/metadata.pdf,,,254686,,,
f94e953fd65b656f082f98d6df397fdf,translated-texts.pdf,,application/pdf,media/translated-texts.pdf,,,248862,,,
iar_mp3,mc_teop_iar.mp3,,audio/mpeg,media/mc_teop_iar.mp3,,,14078537,879.908563,iar,
iar_wav,mc_teop_iar.wav,,audio/x-wav,media/mc_teop_iar.wav,,,155232048,880.000022675737,iar,
iar_eaf,mc_teop_iar.eaf,,application/eaf+xml,media/mc_teop_iar.eaf,,,2084167,,iar,
iar_xml,mc_teop_iar.xml,,application/xml,media/mc_teop_iar.xml,,,427162,,iar,
iar_tsv,mc_teop_iar.tsv,,text/tab-separated-values,media/mc_teop_iar.tsv,,,110372,,iar,
mat_mp3,mc_teop_mat.mp3,,audio/mpeg,media/mc_teop_mat.mp3,,,6637609,414.850563,mat,
mat_wav,mc_teop_mat.wav,,audio/x-wav,media/mc_teop_mat.wav,,,73206044,415.0,mat,
mat_eaf,mc_teop_mat.eaf,,application/eaf+xml,media/mc_teop_mat.eaf,,,1032104,,mat,
mat_xml,mc_teop_mat.xml,,application/xml,media/mc_teop_mat.xml,,,211791,,mat,
mat_tsv,mc_teop_mat.tsv,,text/tab-separated-values,media/mc_teop_mat.tsv,,,55364,,mat,
sii_mp3,mc_teop_sii.mp3,,audio/mpeg,media/mc_teop_sii.mp3,,,18605871,1162.866938,sii,
sii_wav,mc_teop_sii.wav,,audio/x-wav,media/mc_teop_sii.wav,,,205153244,1163.0,sii,
sii_eaf,mc_teop_sii.eaf,,application/eaf+xml,media/mc_teop_sii.eaf,,,3208210,,sii,
sii_xml,mc_teop_sii.xml,,application/xml,media/mc_teop_sii.xml,,,663079,,sii,
sii_tsv,mc_teop_sii.tsv,,text/tab-separated-values,media/mc_teop_sii.tsv,,,169211,,sii,
viv_mp3,mc_teop_viv.mp3,,audio/mpeg,media/mc_teop_viv.mp3,,,5533779,345.861188,viv,
viv_wav,mc_teop_viv.wav,,audio/x-wav,media/mc_teop_viv.wav,,,61034444,346.0,viv,
viv_eaf,mc_teop_viv.eaf,,application/eaf+xml,media/mc_teop_viv.eaf,,,999312,,viv,
viv_xml,mc_teop_viv.xml,,application/xml,media/mc_teop_viv.xml,,,208136,,viv,
viv_tsv,mc_teop_viv.tsv,,text/tab-separated-values,media/mc_teop_viv.tsv,,,52288,,viv,
